indicatorId,year,value
20062,2000,1943101
20062,2001,2046861
20062,2002,2116223
20062,2003,2046165
20062,2006,2111975
20062,2007,2179801
20062,2008,2356240
20062,2009,2383359
20062,2011,2757613
20062,2012,2920791
20062,2013,3021417
20062,2014,3176874
20062,2015,3370558
20062,2016,3617219
20062,2017,3772136
20062,2018,3900222
20062,2019,4003884
20062,2020,4101430
20062,2021,4102825
20062,2022,4252503
20062,2023,4632737
20062,2024,4817661
20070,2012,390591
20070,2014,371207
20070,2015,407891
20070,2016,435103
20070,2017,479779
20070,2018,529994
20070,2019,568756
20070,2020,618350
20070,2021,655627
20070,2022,690433
20070,2023,819603
20070,2024,868324
GER.1.GPIA,2000,0.7455199956893921
GER.1.GPIA,2001,0.8148000240325928
GER.1.GPIA,2002,0.7868199944496155
GER.1.GPIA,2003,0.8492900133132935
GER.1.GPIA,2006,0.8471800088882446
GER.1.GPIA,2007,0.8497599959373474
GER.1.GPIA,2008,0.8490399718284607
GER.1.GPIA,2009,0.8705499768257141
GER.1.GPIA,2011,0.8656744425064126
GER.1.GPIA,2012,0.8878335884618037
GER.1.GPIA,2013,0.910720239064627
GER.1.GPIA,2014,0.9239188176187575
GER.1.GPIA,2015,0.9305574584814541
GER.1.GPIA,2016,0.9418054090932152
GER.1.GPIA,2017,0.9545667245233748
GER.1.GPIA,2018,0.9692252487925431
GER.1.GPIA,2019,0.983820048300455
GER.1.GPIA,2020,0.9831384614097566
GER.1.GPIA,2021,0.9841441946576486
GER.1.GPIA,2022,0.9799917960307741
GER.1.GPIA,2023,0.9735834363076787
GER.1.GPIA,2024,1.022817870684171
GER.2.GPIA,2013,0.733583284420685
GER.2.GPIA,2014,0.7759429404325366
GER.2.GPIA,2015,0.7971879460617978
GER.2.GPIA,2016,0.8151852674328821
GER.2.GPIA,2017,0.8346997431486916
GER.2.GPIA,2018,0.8552043526411379
GER.2.GPIA,2019,0.8735504931140926
GER.2.GPIA,2020,0.899821613474421
GER.2.GPIA,2021,0.9303511078019101
GER.2.GPIA,2022,0.9604600200742275
GER.2.GPIA,2023,1.006838232637171
GER.2.GPIA,2024,1.012563125471282
